image_id,year,image_path,mean_brightness,mean_red,mean_green,mean_blue
00031,1882,"data/MA_Menyer/menus_by_year_swedish_only/1882/7109_alvin-record_548099_Meny, Lorentzberg, 1882/0001.jpg",0.6471134102608594,0.6625445324700676,0.6677126261640349,0.6110830721484759
00032,1882,"data/MA_Menyer/menus_by_year_swedish_only/1882/7109_alvin-record_548099_Meny, Lorentzberg, 1882/0002.jpg",0.6899398280580726,0.7513155821238418,0.7120451207571802,0.6064587812931962
00033,1882,"data/MA_Menyer/menus_by_year_swedish_only/1882/7109_alvin-record_548099_Meny, Lorentzberg, 1882/0003.jpg",0.6741404669855048,0.6925847528302153,0.6950805259424687,0.6347561221838306
00034,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/2798_alvin-record_543587_Meny, Gästgivaregården i Torsåker, 1883/2798 0001.jpg",0.8884197612274365,0.9214847144709685,0.9152918092444733,0.8284827599668678
00035,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/2798_alvin-record_543587_Meny, Gästgivaregården i Torsåker, 1883/2798 0002.jpg",0.9060921106381149,0.9513715263633153,0.9362139142360546,0.8306908913149749
00036,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7110_alvin-record_548144_Meny, Lorentzberg, 1883/0001.jpg",0.8382379672741617,0.8965532848131418,0.8615009997925505,0.7566596172167926
00037,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7113_alvin-record_548055_Meny, Lorentzberg, 1883/0001.jpg",0.7830914707599758,0.8313583344373785,0.8036315497482778,0.7142845280942707
00038,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7114_alvin-record_548186_Meny, Lorentzberg, 1883/0001.jpg",0.7823874235615963,0.8603637245617946,0.7649844028520499,0.7218141432709448
00039,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7115_alvin-record_548115_Meny, Lorentzberg, 1883/0001.jpg",0.6060740165350801,0.6641573941523512,0.6237982559358551,0.5302663995170339
00040,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7115_alvin-record_548115_Meny, Lorentzberg, 1883/0002.jpg",0.6278708756304359,0.6780744806945087,0.6552129369628429,0.550325209233956
00041,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7115_alvin-record_548115_Meny, Lorentzberg, 1883/0003.jpg",0.629119218999373,0.6911839517783858,0.648343250363372,0.5478304548563611
00042,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7116_alvin-record_548038_Meny, Frimurarlogens Restaurant, 1883/0001.jpg",0.6367933254862229,0.6669626560730675,0.6627645838920675,0.5806527364935337
00043,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7116_alvin-record_548038_Meny, Frimurarlogens Restaurant, 1883/0002.jpg",0.7255390511186904,0.7919300132515354,0.7540452942283841,0.6306418458761517
00044,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7118_alvin-record_548178_Meny, Grand Hotel, 1883/0001.jpg",0.6618693722824951,0.7280020590325683,0.6826534835016096,0.5749525743133075
00045,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7118_alvin-record_548178_Meny, Grand Hotel, 1883/0002.jpg",0.7955039721158073,0.8684403770699458,0.815699919673752,0.7023716196037237
00046,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7119_alvin-record_548139_Meny, Lorentzberg, 1883/0001.jpg",0.7283822946251388,0.7984356011729203,0.7577695950420559,0.6289416876604402
00047,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7119_alvin-record_548139_Meny, Lorentzberg, 1883/0002.jpg",0.7613753151179901,0.8296243423992525,0.7906018527922218,0.663899750162496
00048,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7119_alvin-record_548139_Meny, Lorentzberg, 1883/0003.jpg",0.7231461037627341,0.8397540204978641,0.7268118128012379,0.6028724779891007
00049,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7121_alvin-record_548133_Meny, Lorentzberg, 1883/0001.jpg",0.46556405563302905,0.514970172695515,0.4940530271016452,0.387668967101927
00050,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7121_alvin-record_548133_Meny, Lorentzberg, 1883/0002.jpg",0.8221659861999618,0.8396389192281688,0.850073931678109,0.7767851076936079
